,Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Amateur_Built,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Report_Status,Publication_Date,Total_Passengers,Fatal_Injuries_Rate,Uninjured_Rate
50,20020917X02242,Accident,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,,,Non-Fatal,Substantial,N59737,Boeing,A75,No,1.0,Reciprocating,Unknown,0.0,1.0,0.0,1.0,IMC,Cruise,Probable Cause,06-01-1983,2.0,0.0,0.5
80,20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,CKB,BENEDUM,Incident,Minor,N615KC,Embraer,EMB-110P1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,12-01-1983,2.0,0.0,1.0
84,20020917X01907,Accident,DCA82AA011,1982-01-13,"WASHINGTON, DC",United States,,WASHINGTON NATIONAL,Fatal(78),Destroyed,N62AF,Boeing,737-222,No,2.0,Turbo Fan,Unknown,78.0,6.0,3.0,0.0,IMC,Takeoff,Probable Cause,13-01-1983,87.0,0.896551724137931,0.0
242,20020917X02585,Accident,SEA82DA028A,1982-02-06,"MEDFORD, OR",United States,MFR,MEDFORD-JACKSON COUNTY,Non-Fatal,Minor,N56270,Boeing,A75N1,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,06-02-1983,3.0,0.0,1.0
320,20020917X02336,Incident,LAX82IA075,1982-02-15,"ONTARIO, CA",United States,ONT,ONTARIO INTERNATIONAL,Incident,Minor,N73717,Boeing,B737-2H4,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,119.0,IMC,Approach,Probable Cause,15-02-1983,119.0,0.0,1.0
344,20020917X02404,Accident,MIA82FA051,1982-02-17,"MIAMI, FL",United States,MIA,MIAMI INTERNATIONAL,Non-Fatal,Substantial,N4734,Boeing,727-235,No,3.0,Turbo Fan,Unknown,0.0,1.0,1.0,51.0,VMC,Takeoff,Probable Cause,17-02-1983,53.0,0.0,0.9622641509433962
346,20020917X02630,Incident,SEA82IA029,1982-02-18,"BOISE, ID",United States,BOI,BOISE AIR TERMINAL,Incident,Minor,N101RA,Embraer,EMB-11OP1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,16.0,VMC,Takeoff,Probable Cause,18-02-1983,16.0,0.0,1.0
506,20020917X02477,Incident,MKC82IA042,1982-03-08,"LAS VEGAS, NV",United States,LAS,MCCARRAN INTERNATL,Incident,,N6728,Boeing,707-131B,No,4.0,Turbo Fan,Unknown,1.0,0.0,0.0,0.0,VMC,Standing,Probable Cause,08-03-1983,1.0,1.0,0.0
558,20020917X02154,Accident,LAX82AA106A,1982-03-13,"GLENDALE, AZ",United States,LUF,,Fatal(6),Destroyed,KC135,Boeing,KC-135A,No,4.0,Turbo Jet,Unknown,6.0,0.0,0.0,0.0,UNK,Approach,Probable Cause,13-03-1983,6.0,1.0,0.0
669,20020917X02279,Accident,LAX82FA119,1982-03-24,"MARANA, AZ",United States,MJC,MARANA AIRPARK,Non-Fatal,Substantial,N752TA,Boeing,707-123B,No,4.0,Turbo Jet,Ferry,0.0,0.0,0.0,7.0,VMC,Landing,Probable Cause,24-03-1983,7.0,0.0,1.0
796,20020917X01904,Incident,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",United States,YNG,YOUNGSTOWN MUNICIPAL,Incident,Minor,N7627U,Boeing,727-200,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,108.0,IMC,Landing,Probable Cause,09-04-1983,108.0,0.0,1.0
